x_time,apiTotalTime
2020-09-20T00:00:04.435-0700,624.350012
2020-09-20T00:00:09.548-0700,301.817623
2020-09-20T00:00:29.927-0700,441.334149
2020-09-20T00:00:33.117-0700,288.195278
2020-09-20T00:02:25.328-0700,329.56942
2020-09-20T00:02:28.662-0700,135.527158
2020-09-20T00:03:28.454-0700,704.374245
2020-09-20T00:03:57.536-0700,432.656421
2020-09-20T00:04:16.771-0700,823.212986
2020-09-20T00:04:18.401-0700,374.885928
2020-09-20T00:04:42.229-0700,324.44729
2020-09-20T00:04:46.671-0700,243.375006
2020-09-20T00:04:48.385-0700,325.506355
2020-09-20T00:07:28.322-0700,331.360687
2020-09-20T00:07:42.135-0700,492.620264
2020-09-20T00:08:03.793-0700,355.9618
2020-09-20T00:08:08.228-0700,753.574508
2020-09-20T00:08:08.432-0700,606.206372
2020-09-20T00:08:40.537-0700,351.568531
2020-09-20T00:08:47.402-0700,119.616553
2020-09-20T00:08:48.325-0700,685.856327
2020-09-20T00:08:53.285-0700,121.476535
2020-09-20T00:09:02.870-0700,131.819367
2020-09-20T00:09:33.934-0700,280.080008
2020-09-20T00:09:55.466-0700,674.921198
2020-09-20T00:11:01.933-0700,284.627562
2020-09-20T00:11:11.834-0700,678.135234
2020-09-20T00:11:57.191-0700,492.182949
2020-09-20T00:12:14.550-0700,288.670458
2020-09-20T00:13:09.718-0700,233.935598
2020-09-20T00:13:40.740-0700,312.029721
2020-09-20T00:13:52.577-0700,270.027692
2020-09-20T00:14:26.448-0700,429.57535
2020-09-20T00:15:00.819-0700,385.665985
2020-09-20T00:15:05.677-0700,328.408379
2020-09-20T00:16:09.493-0700,281.239588
2020-09-20T00:17:07.202-0700,412.374195
2020-09-20T00:17:10.700-0700,288.047757
2020-09-20T00:17:12.423-0700,479.090143
2020-09-20T00:17:15.781-0700,410.742946
2020-09-20T00:17:34.292-0700,81.405805
2020-09-20T00:17:45.652-0700,586.445706
2020-09-20T00:17:58.874-0700,519.582739
2020-09-20T00:18:02.180-0700,165.87349
2020-09-20T00:18:09.844-0700,232.373379
2020-09-20T00:19:39.512-0700,312.179476
2020-09-20T00:19:57.620-0700,348.730791
2020-09-20T00:20:01.108-0700,642.004136
2020-09-20T00:20:05.714-0700,370.137256
2020-09-20T00:20:11.201-0700,279.001806
2020-09-20T00:20:16.322-0700,374.060412
2020-09-20T00:20:20.211-0700,127.892835
2020-09-20T00:20:24.701-0700,473.195098
2020-09-20T00:20:25.343-0700,174.667847
2020-09-20T00:20:28.547-0700,77.588793
2020-09-20T00:20:31.500-0700,50.301547
2020-09-20T00:20:34.260-0700,58.13089
2020-09-20T00:20:38.565-0700,387.477508
2020-09-20T00:21:34.884-0700,309.47115
2020-09-20T00:21:39.946-0700,505.856194
2020-09-20T00:23:26.115-0700,303.253476
2020-09-20T00:24:00.900-0700,952.720608
2020-09-20T00:24:13.270-0700,332.077897
2020-09-20T00:24:17.387-0700,695.948002
2020-09-20T00:24:18.114-0700,50.232302
2020-09-20T00:24:20.234-0700,56.664594
2020-09-20T00:24:21.628-0700,113.058456
2020-09-20T00:24:31.670-0700,169.700398
2020-09-20T00:24:32.853-0700,126.273595
2020-09-20T00:24:36.497-0700,32.350571
2020-09-20T00:25:12.447-0700,278.494463
2020-09-20T00:26:09.325-0700,333.292523
2020-09-20T00:26:55.398-0700,329.295075
2020-09-20T00:26:57.999-0700,325.477311
2020-09-20T00:28:33.389-0700,354.233247
2020-09-20T00:28:35.800-0700,363.635204
2020-09-20T00:29:20.212-0700,599.637108
2020-09-20T00:29:28.703-0700,337.138878
2020-09-20T00:31:26.701-0700,299.475454
2020-09-20T00:31:51.159-0700,674.501565
2020-09-20T00:31:59.620-0700,276.201246
2020-09-20T00:32:26.823-0700,281.270736
2020-09-20T00:32:27.182-0700,331.611727
2020-09-20T00:32:35.423-0700,333.677935
2020-09-20T00:32:46.412-0700,376.560545
2020-09-20T00:32:53.450-0700,397.698732
2020-09-20T00:32:54.583-0700,89.683942
2020-09-20T00:33:12.349-0700,510.00545
2020-09-20T00:33:31.404-0700,387.66036
2020-09-20T00:33:45.502-0700,435.756845
2020-09-20T00:34:17.319-0700,578.810058
2020-09-20T00:34:42.548-0700,335.091489
2020-09-20T00:35:04.537-0700,139.989206
2020-09-20T00:35:11.691-0700,119.336113
2020-09-20T00:35:29.184-0700,328.076803
2020-09-20T00:35:30.257-0700,285.90341
2020-09-20T00:35:32.155-0700,642.036623
2020-09-20T00:35:32.931-0700,88.041366
2020-09-20T00:35:35.969-0700,160.939965
2020-09-20T00:35:36.558-0700,496.67963
2020-09-20T00:35:39.275-0700,113.831908
2020-09-20T00:35:47.120-0700,155.399637
2020-09-20T00:35:52.387-0700,28.007023
2020-09-20T00:36:21.376-0700,322.785029
2020-09-20T00:36:32.970-0700,297.157193
2020-09-20T00:36:41.483-0700,185.767365
2020-09-20T00:36:50.885-0700,170.17984
2020-09-20T00:36:53.144-0700,158.811712
2020-09-20T00:36:55.603-0700,107.07863
2020-09-20T00:36:58.630-0700,105.650761
2020-09-20T00:37:01.823-0700,24.942104
2020-09-20T00:37:44.303-0700,34.038985
2020-09-20T00:37:56.740-0700,164.879459
2020-09-20T00:37:59.538-0700,157.131122
2020-09-20T00:38:01.681-0700,202.936028
2020-09-20T00:38:14.718-0700,366.404262
